sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1234704120S1K	ESO1238105120S1K	na	NZ_CP020847.1	5554150	267298	4.8126	265033	99.1526	259985	98.0953	2265	0.8474	262210	98.0965	7987	2.9881	2899	36.2965	693	8.6766	5436	68.0606	1713	21.4474	135471	87.5863	126053	87.9678	0.9917
sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1234704120S1K	ESO1357108120S1K	na	NZ_CP020847.1	5554150	404986	7.2916	400209	98.8205	391013	97.7022	4777	1.1795	395657	97.6965	15408	3.8046	6079	39.4535	1594	10.3453	7702	49.987	5708	37.0457	135471	93.372	215523	52.3939	0.9704
sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1234704120S1K	stools_11034101	na	NZ_CP020847.1	5554150	550310	9.9081	543501	98.7627	531046	97.7084	6809	1.2373	537657	97.7008	21442	3.8963	8789	40.9896	2428	11.3236	9491	44.2636	8741	40.7658	135471	87.1057	123522	90.2787	0.9888
sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1238002120S1K	ESO1356602120S1K	na	NZ_CP063912.1	5510850	420331	7.6273	411073	97.7975	402145	97.8281	9258	2.2025	411156	97.8172	20128	4.7886	10953	54.4167	2513	12.4851	7645	37.9819	7772	38.6129	201668	100	158004	84.0415	0.9764
sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1238002120S1K	ESO1358301120S1K	na	NZ_CP063912.1	5510850	741364	13.4528	725733	97.8916	713018	98.248	15631	2.1084	728156	98.2184	28505	3.8449	15297	53.6643	867	3.0416	15890	55.7446	8432	29.5808	201668	86.3687	78475	90.5448	0.9658
sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1238002120S1K	EST1233801101S1K	na	NZ_CP063912.1	5510850	392912	7.1298	387165	98.5373	378005	97.6341	5747	1.4627	383557	97.6191	16310	4.1511	6955	42.6426	1672	10.2514	9018	55.2912	4387	26.8976	201668	93.3872	135906	95.5572	0.9777
sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1238002120S1K	EST1234704101S1K	na	NZ_CP063912.1	5510850	328334	5.958	324636	98.8737	317442	97.784	3698	1.1263	321052	97.7821	12122	3.692	4840	39.9274	1406	11.5987	8048	66.3917	1631	13.4549	201668	100	431931	43.4414	0.9397
sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1238002120S1K	EST1238002101S1K	na	NZ_CP063912.1	5510850	314082	5.6993	306033	97.4373	298154	97.4254	8049	2.5627	305971	97.4176	19000	6.0494	10889	57.3105	3591	18.9	4951	26.0579	8348	43.9368	201668	93.3872	160506	88.9942	0.984
sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ESO1238002120S1K	EST1358301101S1K	na	NZ_CP063912.1	5510850	399506	7.2494	390729	97.803	382601	97.9198	8777	2.197	391169	97.9132	18907	4.7326	10570	55.9052	2572	13.6034	7315	38.6894	6462	34.1778	201668	100	215302	59.6543	0.9651
